picture,xmax,ymax,xmin,ymin
200081_UNKNOWN.png,203,534,254,626
200082_D58.png,224,627,286,693
200083_G43.png,208,693,281,787
200084_UNKNOWN.png,207,789,287,810
200085_UNKNOWN.png,209,807,288,823
200086_UNKNOWN.png,205,821,290,841
200087_G17.png,208,843,289,929
200088_E34.png,216,946,278,992
200089_N35.png,215,991,278,1009
200090_M17.png,250,1007,271,1069
200091_S29.png,224,1010,244,1073
200092_M8.png,208,1091,284,1142
200093_G1.png,203,1140,288,1220
200094_S29.png,266,1218,291,1295
200095_D54.png,205,1223,269,1291
200096_E34.png,216,1313,282,1357
200097_N35.png,215,1358,282,1376
200098_M17.png,253,1372,273,1439
200099_S29.png,223,1373,247,1439
200100_N37.png,203,1453,289,1480
200101_H6.png,262,1483,291,1572
200102_G43.png,202,1483,265,1572
200103_E34.png,311,27,369,65
200104_N35.png,308,65,371,81
200105_M17.png,346,83,368,150
200106_S29.png,316,85,339,151
200107_N35.png,296,167,384,190
200108_N35.png,298,191,385,209
200109_UNKNOWN.png,295,208,383,253
200110_S29.png,353,238,382,327
200111_Q7.png,298,242,356,328
200112_V13.png,297,331,383,365
200113_N35.png,296,366,384,384
200114_R8.png,346,387,382,461
200115_R8.png,327,389,349,462
200116_R8.png,300,389,327,460
200117_P8.png,365,476,385,568
200118_I10.png,294,477,370,567
200119_E34.png,317,584,368,620
200120_N35.png,312,621,369,638
200121_M17.png,346,638,365,700
200122_S29.png,321,638,342,701
200123_Q3.png,343,735,380,790
200124_M17.png,305,719,336,815
200125_G43.png,303,813,378,914
200126_M17.png,347,918,380,1007
200127_V25.png,302,916,343,1011
200128_V13.png,300,1008,384,1039
200129_F34.png,316,1039,373,1094
200130_G39.png,304,1093,386,1166
200131_F34.png,317,1163,378,1213
200132_N16.png,301,1214,387,1242
200133_H6.png,363,1243,387,1322
200134_G43.png,301,1241,361,1325
200135_F40.png,307,1326,386,1387
200136_M17.png,346,1384,378,1467
200137_M17.png,312,1386,342,1467
200138_F40.png,303,1467,384,1537
200139_M23.png,440,6,476,90
200140_D58.png,394,11,443,84
200141_W24.png,416,87,459,127
200142_N35.png,393,125,476,149
200143_G14.png,393,151,471,221
200144_X1.png,416,220,456,242
200145_I9.png,393,237,477,270
200146_D58.png,428,266,476,330
200147_X1.png,392,299,433,326
200148_UNKNOWN.png,399,334,474,390
200149_E34.png,406,417,459,456
200150_N35.png,403,458,465,472
200151_M17.png,436,477,459,534
200152_S29.png,408,474,430,533
200153_Q3.png,447,588,477,627
200154_G43.png,393,550,464,647
200155_M8.png,398,644,474,704
200156_G1.png,393,704,476,790
200157_S29.png,453,789,479,868
200158_D54.png,392,794,454,872
200159_G17.png,396,887,475,969
200160_V31.png,392,968,473,1005
200161_V31.png,393,1006,476,1042
200162_G43.png,402,1039,472,1134
200163_N2.png,407,1137,476,1175
200164_P8.png,433,1159,460,1216
200165_D35.png,393,1217,480,1256
200166_U1.png,398,1252,477,1324
200167_D4.png,400,1322,480,1348
200168_G1.png,393,1351,475,1428
200169_G4.png,393,1428,475,1510
200170_I9.png,398,1510,480,1539
200171_G1.png,483,6,564,83
200172_G17.png,490,82,562,156
200173_Q7.png,502,153,560,225
200174_N35.png,486,226,569,248
200175_V13.png,491,246,565,274
200176_N35.png,485,274,569,299
200177_G25.png,481,299,568,378
200178_X1.png,499,381,555,410
200179_UNKNOWN.png,490,412,562,523
200180_V30.png,503,490,567,518
200181_X1.png,532,564,571,587
200182_G43.png,491,517,554,607
200183_I10.png,482,605,569,685
200184_M23.png,527,647,565,724
200185_M23.png,493,653,531,729
200186_G43.png,487,732,566,822
200187_X1.png,532,827,570,854
200188_X1.png,487,830,531,858
200189_UNKNOWN.png,490,858,571,898
200190_S29.png,510,894,551,977
200191_F34.png,496,981,565,1036
200192_F34.png,497,1031,565,1083
200193_F34.png,496,1080,562,1132
200194_V13.png,487,1132,573,1163
200195_N35.png,487,1164,571,1189
200196_D54.png,502,1188,564,1237
200197_G43.png,493,1237,567,1327
200198_X1.png,504,1325,559,1353
200199_S29.png,512,1352,558,1444
200200_N35.png,486,1441,571,1468
200201_D21.png,492,1466,566,1492
200202_E34.png,502,1511,553,1555
200203_N35.png,497,1558,562,1573
200204_E34.png,593,18,647,50
200205_N35.png,589,48,647,65
200206_M17.png,620,68,644,127
200207_S29.png,594,64,621,130
200208_G17.png,580,151,652,232
200209_D4.png,579,231,659,262
200210_X1.png,617,264,657,289
200211_Z1.png,587,263,613,300
200212_I9.png,580,290,660,323
200213_M17.png,638,319,662,394
200214_G43.png,581,320,640,396
200215_G43.png,593,397,660,482
200216_F12.png,616,483,662,562
200217_S29.png,582,482,616,562
200218_E34.png,594,576,650,608
200219_N35.png,590,609,650,625
200220_M17.png,625,623,648,689
200221_S29.png,598,626,622,692
200222_G17.png,580,709,659,795
200223_D4.png,579,793,665,822
200224_X1.png,617,823,663,850
200225_Z1.png,590,825,605,858
200226_I9.png,579,857,662,891
200227_M17.png,630,886,659,969
200228_Z1.png,585,908,613,941
200229_R8.png,633,969,665,1035
200230_R8.png,606,967,634,1039
200231_R8.png,579,966,607,1039
200232_M23.png,598,1041,647,1111
200233_D21.png,593,1110,656,1128
200234_G43.png,587,1129,655,1208
200235_V22.png,580,1210,662,1274
200236_G4.png,585,1232,663,1312
200237_UNKNOWN.png,577,1312,663,1425
200238_G5.png,584,1419,667,1494
200239_UNKNOWN.png,601,1489,652,1582
200240_M17.png,694,0,730,77
200241_D21.png,670,80,753,105
200242_U1.png,671,105,754,164
200243_F18.png,670,163,756,180
200244_D36.png,672,180,757,219
200245_X1.png,681,220,740,248
200246_M17.png,693,250,728,330
200247_W25.png,685,328,752,396
200248_N35.png,671,397,759,421
200249_X1.png,687,418,744,446
200250_I9.png,666,441,760,477
200251_S29.png,691,482,726,555
200252_M17.png,725,554,761,649
200253_S29.png,673,555,713,648
200254_O50.png,694,647,735,685
200255_D21.png,673,688,760,714
200256_I9.png,670,712,765,747
200257_D21.png,673,750,761,778
200258_G43.png,680,778,760,869
200259_N35.png,672,868,763,890
200260_I9.png,673,890,764,921
200261_D46.png,675,923,764,953
200262_N35.png,672,953,765,973
200263_I10.png,676,972,766,1043
200264_UNKNOWN.png,698,1005,764,1071
200265_G43.png,681,1068,757,1157
200266_Q3.png,698,1161,747,1206
200267_Z7.png,681,1205,763,1237
200268_D21.png,683,1237,762,1266
200269_N35.png,678,1267,768,1285
200270_I9.png,675,1284,769,1322
200271_M17.png,731,1323,767,1407
200272_Z11.png,675,1326,735,1406
200273_G43.png,683,1406,753,1491
200274_N35.png,678,1489,766,1509
200275_W24.png,727,1509,767,1540
200276_W24.png,678,1509,720,1541
200277_W24.png,703,1539,738,1577
200278_D21.png,770,2,856,24
200279_X8.png,784,30,831,105
200280_I9.png,765,101,855,133
200281_F22.png,767,135,848,175
200282_G43.png,779,174,846,260
200283_P8.png,815,263,850,342
200284_M40.png,775,261,813,342
200285_M40.png,818,338,854,416
200286_M40.png,777,340,809,418
200287_G17.png,777,420,852,498
200288_O28.png,821,497,856,579
200289_W24.png,776,500,810,536
200290_O49.png,775,538,828,583
200291_S29.png,795,581,835,670
200292_V31.png,774,669,859,703
200293_E34.png,784,726,850,761
200294_N35.png,786,761,850,780
200295_M17.png,821,777,843,845
200296_S29.png,794,780,817,851
200297_O1.png,782,876,856,930
200298_D21.png,773,931,863,960
200299_G17.png,781,962,861,1047
200300_O4.png,791,1046,853,1098
200301_D21.png,776,1099,857,1125
200302_G43.png,782,1127,856,1218
200303_N5.png,790,1222,855,1267
200304_Q3.png,795,1270,841,1319
200305_N35.png,776,1315,867,1341
200306_G17.png,783,1339,859,1422
200307_M17.png,804,1419,842,1501
200308_D4.png,779,1503,872,1531
200309_E23.png,777,1539,870,1580
200310_G17.png,866,6,940,85
200311_D52.png,866,82,947,114
200312_X1.png,878,111,927,136
200313_D21.png,864,143,944,167
200314_G43.png,872,165,934,250
200315_UNKNOWN.png,905,254,943,319
200316_UNKNOWN.png,873,253,907,323
200317_M17.png,919,323,949,405
200318_G43.png,870,324,927,404
200319_V24.png,925,403,950,492
200320_G43.png,868,407,929,487
200321_N35.png,868,491,950,508
200322_U1.png,871,505,943,566
200323_Y2.png,872,564,943,578
200324_D36.png,869,581,949,613
200325_U33.png,914,611,955,692
200326_M17.png,876,616,903,692
200327_Q3.png,889,692,929,737
200328_Z7.png,873,741,954,774
200329_D21.png,877,774,949,804
200330_N35.png,874,810,957,829
200331_I9.png,871,827,957,857
200332_N35.png,872,865,954,883
200333_UNKNOWN.png,871,885,953,932
200334_X1.png,893,914,944,941
200335_UNKNOWN.png,918,948,956,984
200336_UNKNOWN.png,874,948,916,986
200337_UNKNOWN.png,896,986,940,1022
200338_G39.png,873,1024,954,1102
200339_D58.png,897,1101,950,1163
200340_V13.png,874,1163,958,1196
200341_O34.png,871,1197,956,1217
200342_Aa26.png,900,1217,943,1290
200343_M17.png,921,1289,949,1366
200344_M17.png,890,1290,919,1374
200345_I9.png,877,1367,959,1397
200346_M23.png,886,1394,949,1466
200347_G43.png,886,1467,948,1546
200348_N35.png,877,1552,961,1570
200349_O4.png,966,2,1029,48
200350_M17.png,1008,52,1038,144
200351_M17.png,964,54,1002,148
200352_G17.png,967,149,1041,229
200353_W24.png,976,227,1024,266
200354_Q3.png,981,264,1022,307
200355_N37.png,961,311,1037,338
200356_F23.png,958,339,1045,374
200357_N35.png,958,378,1049,402
200358_M17.png,1026,403,1050,483
200359_M17.png,990,403,1021,485
200360_M17.png,961,406,995,483
200361_X1.png,1021,480,1052,505
200362_X1.png,988,485,1019,504
200363_X1.png,956,486,988,508
200364_S29.png,986,507,1024,592
200365_N35.png,960,595,1055,618
200366_M17.png,1026,618,1054,704
200367_U7.png,965,621,1021,700
200368_D21.png,968,715,1046,739
200369_I9.png,969,744,1058,769
200370_U1.png,969,771,1050,833
200371_N37.png,973,836,1055,860
200372_O50.png,991,859,1041,901
200373_D21.png,973,896,1051,936
200374_P8.png,992,936,1038,1022
200375_I9.png,965,1020,1063,1050
200376_G17.png,978,1048,1058,1137
200377_M17.png,1003,1133,1038,1216
200378_D4.png,967,1219,1059,1250
200379_X1.png,990,1249,1041,1279
200380_N35.png,968,1279,1067,1303
200381_I9.png,970,1306,1067,1336
200382_M17.png,1039,1334,1067,1425
200383_G43.png,973,1333,1037,1426
200384_UNKNOWN.png,992,1421,1051,1504
200385_D36.png,971,1498,1068,1537
200386_N35.png,972,1538,1068,1558
210001_G17.png,11,6,94,90
210002_D35.png,8,89,101,126
210003_O50.png,31,121,78,161
210004_D35.png,8,161,101,201
210005_G17.png,9,202,91,286
210006_E34.png,24,305,84,348
210007_N35.png,22,348,87,362
210008_M17.png,58,362,79,434
210009_S29.png,29,363,56,435
210010_N5.png,26,452,78,496
210011_S29.png,32,501,73,585
210012_V13.png,8,584,90,620
210013_V13.png,5,619,90,656
210014_G43.png,10,657,85,751
210015_M17.png,60,757,89,854
210016_D21.png,5,752,63,781
210017_O50.png,10,782,66,821
210018_X1.png,10,819,63,851
210019_M23.png,17,853,65,938
210020_G43.png,4,938,79,1034
210021_S29.png,21,1035,64,1111
210022_V13.png,4,1108,86,1140
210023_M23.png,8,1140,76,1224
210024_G43.png,5,1224,78,1320
210025_M17.png,66,1320,87,1398
210026_D21.png,2,1320,70,1352
210027_O50.png,15,1358,60,1400
210028_V13.png,0,1400,86,1440
210029_G43.png,4,1444,74,1541
210030_N31.png,112,11,200,57
210031_N35.png,109,54,200,78
210032_V28.png,129,76,182,171
210033_D21.png,118,172,197,205
210034_X1.png,127,207,192,234
210035_N31.png,111,232,197,271
210036_E34.png,121,295,183,344
210037_N35.png,121,344,186,360
210038_M17.png,152,358,175,430
210039_S29.png,124,361,151,431
210040_Q3.png,144,458,192,518
210041_M17.png,110,447,144,536
210042_D4.png,105,539,192,571
210043_G43.png,105,570,181,676
210044_F13.png,101,676,188,730
210045_Q3.png,119,730,175,781
210046_X1.png,120,781,169,806
210047_N35.png,99,806,191,829
210048_N37.png,102,829,185,856
210049_N35.png,98,859,189,882
210050_E9.png,95,880,191,956
210051_P8.png,169,960,188,1044
210052_I10.png,95,957,170,1036
210053_G17.png,96,1003,170,1090
210054_D35.png,94,1088,186,1120
210055_O50.png,120,1116,157,1149
210056_D35.png,93,1146,186,1178
210057_G17.png,96,1177,179,1259
210058_E34.png,114,1276,171,1315
210059_N35.png,109,1314,175,1334
210060_M17.png,146,1333,169,1403
210061_S29.png,115,1333,142,1404
210062_R8.png,108,1435,168,1539
210063_G43.png,211,0,274,92
210064_H6.png,277,0,300,93
210065_N35.png,210,92,300,113
210066_M195.png,260,115,291,205
210067_X1.png,216,150,262,180
210068_D54.png,211,196,293,258
210069_I9.png,209,254,298,289
210070_G1.png,201,284,297,372
210071_V31.png,209,367,294,404
210072_D21.png,214,402,293,435
210073_D39.png,206,434,295,468
210074_T22.png,263,469,292,550
210075_D19.png,210,485,267,537
210076_I9.png,203,548,294,579
210077_N35.png,205,579,293,597
210078_X1.png,222,595,274,624
210079_UNKNOWN.png,206,627,289,721
210080_N29.png,238,724,289,783
210081_UNKNOWN.png,199,719,235,806
210082_G43.png,203,789,288,886
210083_R8.png,226,886,275,968
210084_E34.png,197,966,287,1025
210085_N35.png,196,1032,288,1051
210086_O31.png,199,1053,291,1083
210087_N35.png,196,1082,291,1105
210088_I9.png,196,1103,292,1133
210089_M17.png,259,1134,287,1215
210090_Z11.png,196,1140,262,1221
210091_G43.png,204,1224,279,1314
210092_E34.png,194,1314,281,1372
210093_N35.png,198,1371,290,1392
210094_E34.png,198,1392,287,1447
210095_N35.png,197,1448,286,1467
210096_M17.png,253,1464,283,1544
210097_X1.png,196,1486,249,1524
210098_G43.png,316,51,396,144
210099_X1.png,332,143,384,173
210100_G1.png,307,170,397,253
210101_O34.png,304,252,402,272
210102_D58.png,342,271,395,340
210103_F9.png,321,342,394,410
210104_M17.png,376,410,401,500
210105_G4.png,301,415,381,500
210106_N5.png,337,497,382,538
210107_G43.png,305,533,386,636
210108_UNKNOWN.png,325,636,381,702
210109_E34.png,317,725,379,767
210110_N35.png,315,769,388,785
210111_M17.png,359,785,381,857
210112_S29.png,323,786,353,860
210113_Q3.png,347,896,393,954
210114_M17.png,305,876,339,969
210115_N35.png,300,971,393,999
210116_S29.png,326,996,383,1087
210117_D21.png,295,1088,396,1120
210118_Q7.png,304,1122,389,1201
210119_G17.png,305,1199,395,1294
210120_UNKNOWN.png,323,1292,381,1335
210121_UNKNOWN.png,318,1336,386,1441
210122_G43.png,314,1442,389,1542
210123_I9.png,410,21,502,50
210124_S29.png,444,50,477,136
210125_O50.png,432,132,481,170
210126_D46.png,407,169,499,199
210127_UNKNOWN.png,434,199,483,256
210128_G43.png,413,251,492,352
210129_O1.png,417,354,489,396
210130_D21.png,416,400,492,429
210131_E34.png,427,445,483,486
210132_N35.png,422,487,486,505
210133_M17.png,460,504,480,576
210134_S29.png,424,504,458,577
210135_G17.png,409,597,492,682
210136_O4.png,424,683,482,735
210137_D21.png,409,734,493,761
210138_G43.png,413,762,490,866
210139_N5.png,424,865,483,909
210140_Q3.png,429,911,478,964
210141_N35.png,412,963,493,983
210142_M17.png,467,984,494,1067
210143_W25.png,411,979,469,1071
210144_N35.png,407,1067,496,1091
210145_X1.png,424,1089,481,1114
210146_I9.png,408,1112,496,1141
210147_UNKNOWN.png,405,1139,494,1212
210148_X1.png,407,1186,450,1215
210149_M17.png,459,1209,487,1305
210150_S29.png,418,1213,458,1298
210151_O50.png,427,1301,474,1343
210152_D21.png,406,1344,485,1373
210153_I9.png,407,1374,495,1400
210154_D35.png,407,1398,495,1434
210155_D21.png,412,1427,487,1453
210156_M44.png,464,1461,497,1544
210157_G43.png,404,1455,469,1543
210158_E34.png,524,25,582,70
210159_N35.png,522,69,589,88
210160_M17.png,558,90,581,155
210161_S29.png,528,87,556,155
210162_G17.png,514,177,592,259
210163_Z11.png,542,263,595,341
210164_D56.png,504,260,564,343
210165_G17.png,510,346,591,438
210166_D54.png,515,436,587,493
210167_M17.png,551,493,587,595
210168_M17.png,514,497,552,587
210169_N35.png,504,589,587,613
210170_I9.png,507,613,590,648
210171_G17.png,503,649,587,734
210172_D54.png,524,733,577,792
210173_M17.png,550,785,583,884
210174_M17.png,510,794,545,884
210175_N35.png,504,886,589,905
210176_I9.png,500,904,586,933
210177_E34.png,518,950,574,987
210178_N35.png,511,987,576,1005
210179_M17.png,547,1007,575,1078
210180_S29.png,514,1006,547,1080
210181_Q3.png,540,1110,589,1172
210182_M17.png,507,1102,538,1191
210183_I10.png,504,1182,582,1258
210184_S29.png,531,1217,567,1306
210185_I10.png,503,1296,586,1376
210186_S29.png,526,1339,568,1427
210187_N35.png,503,1430,591,1448
210188_M17.png,557,1446,585,1524
210189_X1.png,502,1462,554,1507
210190_UNKNOWN.png,616,3,674,98
210191_G4.png,608,91,692,176
210192_G17.png,611,175,694,262
210193_V31.png,601,266,700,299
210194_M17.png,652,301,688,391
210195_M17.png,617,304,647,398
210196_E34.png,619,410,676,450
210197_N35.png,614,450,683,469
210198_M17.png,647,470,676,542
210199_S29.png,618,471,650,540
210200_S29.png,658,562,694,662
210201_Aa27.png,605,560,657,664
210202_N35.png,596,661,694,683
210203_I10.png,597,685,694,779
210204_N35.png,616,735,694,759
210205_I9.png,607,760,695,792
210206_N41.png,635,803,690,871
210207_S29.png,605,795,636,895
210208_N35.png,598,899,698,921
210209_I9.png,597,918,698,956
210210_G17.png,607,952,685,1039
210211_V28.png,656,1036,688,1127
210212_X1.png,601,1038,642,1068
210213_UNKNOWN.png,604,1070,651,1131
210214_G1.png,601,1128,691,1207
210215_F29.png,619,1205,676,1277
210216_O4.png,616,1275,674,1332
210217_G43.png,611,1330,677,1422
210218_O1.png,612,1430,683,1484
210219_O1.png,609,1484,682,1543
210220_N35.png,711,0,809,17
210221_W24.png,763,17,801,51
210222_W24.png,719,18,753,53
210223_W24.png,740,51,777,85
210224_S34.png,724,93,788,187
210225_M17.png,776,181,806,280
210226_G43.png,709,183,776,281
210227_N35.png,710,281,804,300
210228_O4.png,725,297,788,352
210229_X1.png,725,350,788,381
210230_UNKNOWN.png,730,385,786,447
210231_E34.png,729,461,790,506
210232_N35.png,721,507,792,527
210233_M17.png,760,525,780,591
210234_S29.png,728,526,757,594
210235_G17.png,705,621,801,713
210236_D4.png,706,712,796,743
210237_X1.png,744,744,799,775
210238_Z1.png,715,745,739,783
210239_I9.png,706,771,802,808
210240_M17.png,774,808,799,891
210241_G43.png,708,807,774,892
210242_G17.png,715,894,796,986
210243_V31.png,706,984,797,1022
210244_X1.png,724,1021,789,1050
210245_E34.png,727,1068,785,1106
210246_N35.png,721,1107,786,1123
210247_M17.png,759,1119,777,1184
210248_S29.png,725,1123,752,1184
210249_G17.png,712,1199,791,1284
210250_D4.png,705,1285,797,1312
210251_X1.png,747,1313,793,1348
210252_Z1.png,713,1314,736,1349
210253_M17.png,769,1347,799,1436
210254_G43.png,710,1348,771,1433
210255_N35.png,705,1435,797,1461
210256_M3.png,707,1462,798,1491
210257_O50.png,749,1498,793,1543
210258_X1.png,706,1501,747,1543
210259_D4.png,816,5,910,48
210260_E23.png,815,44,912,89
210261_G43.png,831,84,906,178
210262_U1.png,820,176,912,256
210263_N17.png,823,257,908,271
210264_D36.png,815,271,913,316
210265_N35.png,817,316,910,338
210266_G25.png,815,333,914,423
210267_Z1.png,839,423,877,464
210268_S34.png,828,469,888,567
210269_M17.png,871,566,904,664
210270_S29.png,818,566,866,666
210271_I10.png,811,666,914,764
210272_E34.png,828,776,895,819
210273_N35.png,825,816,894,837
210274_M17.png,864,836,890,909
210275_S29.png,832,838,858,909
210276_D34.png,819,927,908,989
210277_D58.png,854,993,908,1072
210278_V28.png,814,986,855,1081
210279_N35.png,815,1076,910,1100
210280_T30.png,815,1099,902,1130
210281_I9.png,813,1119,909,1155
210282_UNKNOWN.png,810,1158,905,1224
210283_N35.png,808,1220,910,1240
210284_W24.png,865,1239,907,1275
210285_Z1.png,816,1242,858,1283
210286_O1.png,843,1279,905,1334
210287_M17.png,808,1283,838,1380
210288_D21.png,837,1342,907,1371
210289_E34.png,831,1393,897,1439
210290_N35.png,830,1437,897,1456
210291_M17.png,868,1452,889,1523
210292_S29.png,834,1452,861,1523
210293_N35.png,917,53,1006,77
210294_U7.png,930,75,996,161
210295_D21.png,921,162,1004,190
210296_N37.png,925,189,1012,209
210297_X1.png,935,209,993,241
210298_N35.png,922,238,1008,258
210299_I9.png,925,256,1013,288
210300_D46.png,920,291,1014,321
210301_UNKNOWN.png,922,325,1012,376
210302_G17.png,924,377,1008,461
210303_I10.png,924,468,1012,530
210304_D36.png,922,543,1014,582
210305_X1.png,939,585,992,611
210306_UNKNOWN.png,920,616,1006,658
210307_UNKNOWN.png,925,655,1012,696
210308_UNKNOWN.png,923,703,1000,747
210309_I9.png,918,752,1010,788
210310_M17.png,978,788,1007,881
210311_Z11.png,918,790,976,876
210312_X1.png,933,876,991,910
210313_N37.png,922,910,1007,948
210314_X1.png,965,961,1005,987
210315_UNKNOWN.png,928,946,968,1003
210316_G4.png,921,1001,1000,1086
210317_G43.png,927,1081,1002,1174
210318_O34.png,915,1174,1008,1190
210319_U1.png,954,1196,1007,1269
210320_UNKNOWN.png,920,1193,957,1269
210321_I9.png,921,1269,1009,1295
210322_M17.png,977,1294,1005,1371
210323_Z11.png,920,1293,980,1372
210324_G43.png,932,1371,1003,1457
210325_N35.png,922,1456,1011,1476
210326_W24.png,965,1472,1005,1510
210327_W24.png,925,1473,962,1511
210328_W24.png,433,1299,487,1334
210329_D36.png,1020,0,1125,43
210330_N35.png,1018,42,1125,61
210331_E34.png,1037,75,1109,126
210332_N35.png,1037,122,1111,147
210333_M17.png,1079,140,1103,209
210334_S29.png,1045,145,1076,212
210335_X1.png,1046,230,1102,260
210336_I9.png,1021,256,1127,291
210337_N35.png,1020,293,1129,312
210338_V28.png,1048,309,1093,410
210339_N35.png,1019,405,1124,431
210340_D36.png,1025,431,1127,478
210341_X1.png,1035,474,1099,520
210342_I9.png,1023,514,1127,552
210343_N35.png,1016,566,1125,585
210344_X1.png,1044,588,1112,625
210345_M17.png,1093,640,1127,746
210346_G43.png,1023,645,1089,747
210347_S29.png,1097,761,1125,869
210348_F21.png,1021,765,1081,826
210349_G17.png,1024,838,1106,928
210350_N35.png,1017,926,1132,951
210351_U1.png,1022,947,1115,1022
210352_N17.png,1029,1024,1118,1046
210353_D36.png,1020,1045,1129,1092
210354_U33.png,1078,1091,1115,1185
210355_M17.png,1035,1092,1069,1186
210356_M17.png,1094,1185,1128,1275
210357_G43.png,1023,1185,1093,1276
210358_N37.png,1026,1278,1121,1311
210359_H6.png,1043,1319,1107,1420
210360_G43.png,1028,1423,1116,1531
220000_D2.png,29,0,97,57,
220001_D21.png,18,56,98,85,
220002_I9.png,15,79,104,114,
220003_UNKNOWN.png,19,114,85,189,
220004_I9.png,16,181,106,218,
220005_G17.png,24,212,103,288,
220006_D36.png,14,284,104,324,
220007_I9.png,13,316,103,350,
220008_D36.png,13,349,102,383,
220009_D58.png,40,381,101,439,
220010_G26.png,19,435,102,513,
220011_UNKNOWN.png,42,508,81,601,
220012_I9.png,13,586,103,623,
220013_G17.png,23,613,94,692,
220014_I10.png,10,685,98,772,
220015_D21.png,28,720,96,749,
220016_X1.png,37,747,92,768,
220017_D46.png,13,768,102,803,
220018_I9.png,14,797,102,831,
220019_N35.png,10,824,102,847,
220020_O4.png,32,842,80,886,
220021_N35.png,14,877,102,898,
220022_M17.png,45,898,75,965,
220023_I9.png,13,947,101,976,
220024_N35.png,8,972,103,994,
220025_I9.png,10,989,104,1022,
220026_UNKNOWN.png,15,1018,99,1055,
220027_D21.png,18,1055,95,1085,
220028_S29.png,34,1082,83,1158,
220029_N35.png,11,1156,101,1175,
220030_W25.png,31,1174,84,1265,
220031_N35.png,5,1269,96,1301,
220032_S29.png,28,1303,80,1388,
220033_N35.png,8,1390,99,1415,
220034_N35.png,7,1412,99,1437,
220035_I9.png,8,1431,97,1465,
220036_I9.png,10,1457,98,1498,
220037_D46.png,7,1495,98,1530,
220038_UNKNOWN.png,17,1527,95,1564,
220039_N35.png,113,0,201,19,
220040_E34.png,125,24,192,71,
220041_N35.png,122,66,190,85,
220042_M17.png,161,87,187,152,
220043_S29.png,133,86,158,152,
220044_M29.png,174,166,201,240,
220045_G1.png,109,163,179,247,
220046_P1.png,107,245,201,285,
220047_I9.png,109,281,200,315,
220048_M17.png,180,307,203,398,
220049_G17.png,112,312,181,393,
220050_M17.png,144,388,172,463,
220051_D21.png,117,462,192,489,
220052_G25.png,110,483,200,556,
220053_O50.png,159,553,199,592,
220054_X1.png,114,562,157,585,
220055_N19.png,111,587,197,607,
220056_O50.png,134,605,185,641,
220057_D21.png,113,640,195,667,
220058_N5.png,134,665,182,701,
220059_D46.png,109,701,203,736,
220060_UNKNOWN.png,110,730,201,750,
